ti_id,pop_part_final_corrigido,area_km2,IR_global
65,0,2.5754467239740695,0.0
66,78,27.944599814956703,0.027102154273801252
67,0,0.9662375987396729,0.0
68,1,1.1028951543838843,0.00034746351633078526
69,1,0.9978252477889988,0.00034746351633078526
70,41,0.7390737056370063,0.014246004169562195
71,17,1.2882847398400608,0.00590687977762335
72,36,0.8885828953240744,0.01250868658790827
73,0,1.0334820720058673,0.0
74,1,1.532661585844977,0.00034746351633078526
75,0,1.03329812084604,0.0
76,1,2.105096244105257,0.00034746351633078526
77,0,0.055809292312628996,0.0
78,55,2.3106912294639943,0.01911049339819319
79,35,0.23887427664114114,0.012161223071577484
80,67,0.9352237789297326,0.023280055594162612
81,155,2.841735997282922,0.053856845031271715
82,0,0.4341990023053263,0.0
83,112,6.009389173751841,0.03891591382904795
84,18,0.4479721698914848,0.006254343293954135
85,49,23.031259198435603,0.017025712300208478
86,44,2.240200000000034,0.015288394718554551
87,50,7.485606019102591,0.017373175816539264
88,2,2.1886105,0.0006949270326615705
89,653,28.328973651762,0.22689367616400277
90,13,7.780526716962629,0.004517025712300208
91,116,7.517000284890487,0.04030576789437109
92,306,2.7992975283098156,0.1063238359972203
93,128,35.71062776204609,0.04447533009034051
94,383,11.004396281888814,0.13307852675469076
95,1170,198.58669293531065,0.4065323141070188
96,714,162.4491408558799,0.2480889506601807
97,31,18.39310314381298,0.010771369006254344
98,71,19.18807525494349,0.024669909659485754
99,95,7.121833429990532,0.0330090340514246
100,39,2.348935015950158,0.013551077136900626
101,0,0.2785912123166733,0.0
102,221,33.27866078001652,0.07678943710910355
103,229,59.982710827616884,0.07956914523974983
104,194,2.24457148369622,0.06740792216817235
105,16,0.136636129251833,0.005559416261292564
106,0,0.2805683885269939,0.0
107,34,0.49246455505942105,0.0118137595552467
108,3,0.006781369739476759,0.0010423905489923557
109,21,5.230875327886851,0.007296733842946491
110,318,28.714263311411116,0.11049339819318972
111,0,0.01700231390351522,0.0
112,0,0.03226135929086521,0.0
113,9,0.8757308550403993,0.0031271716469770676
114,16,0.018761400512664016,0.005559416261292564
115,12,2.4081274358861955,0.004169562195969423
116,4,0.016195879689008583,0.001389854065323141
117,69,0.054594428820094555,0.023974982626824185
118,19,0.10045162550698529,0.00660180681028492
119,183,0.9599641406584832,0.0635858234885337
120,43,0.3059291914967018,0.014940931202223767
121,107,0.11881827842519961,0.03717859624739402
122,30,0.7661990593859993,0.010423905489923557
123,5,0.12763666692697656,0.0017373175816539264
124,159,0.045771818215234385,0.05524669909659486
125,16,0.004740937872824163,0.005559416261292564
126,53,0.08319364447866735,0.01841556636553162
127,7,0.0960108059062644,0.002432244614315497
128,245,5.941421868928046,0.0851285615010424
129,0,0.0022009622526218274,0.0
130,34,0.31842724633416164,0.0118137595552467
131,231,0.059747637968802364,0.08026407227241139
132,15,0.1032059088991491,0.005211952744961779
133,33,0.007392282475451484,0.011466296038915913
134,28,6.628118982006821,0.009728978457261988
135,54,0.12250741967249996,0.018763029881862403
136,14,3.3552049708535088,0.004864489228630994
137,4,0.31033945265527657,0.001389854065323141
138,13,1.8279116361920935,0.004517025712300208
139,9,0.8615139582916495,0.0031271716469770676
140,47,0.9627027033289545,0.01633078526754691
