ti_id,pop_corrigida_global,pop_corrigida_mun,mun_id,pop_total,IR_global,IR_municipal
63,11.385780344996311,6.621327346118712,117,10385,0.0010963678714488504,0.0006375856857119607
64,23.696976440042175,0.0,126,7299,0.003246605896703956,0.0
65,0.39971480393107306,0.0,89,3991,0.00010015404758984541,0.0
66,78.46354261166265,0.0,107,35012,0.002241047144169503,0.0
67,0.7667045882300024,0.0,41,12225,6.271612173660551e-05,0.0
68,1.1667536434696164,0.0,69,62200,1.8758097161890938e-05,0.0
69,1.0556001073865986,0.0,69,62200,1.6971062819720235e-05,0.0
70,41.64422793424343,0.0,249,3916,0.010634378941328761,0.0
71,17.377783767393282,0.0,82,49680,0.0003497943592470467,0.0
72,36.77653199156674,0.0,364,271735,0.00013533969489232798,0.0
73,0.8200627335283739,0.0,41,12225,6.708079619863999e-05,0.0
74,1.5971264975133508,0.0,41,12225,0.00013064429427512073,0.0
75,0.8199167692247349,0.0,41,12225,6.706885637830142e-05,0.0
76,1.6703830932748582,0.0,41,12225,0.00013663665384661418,0.0
77,0.15272245341798812,0.29001632372996194,484,224112,6.814559390750523e-07,1.2940686965890356e-06
78,55.292948350796806,0.0,404,7056,0.007836302203911112,0.0
79,35.99316204192709,0.0,328,1332845,2.700476202553717e-05,0.0
80,67.93133654526466,129.0,451,41751,0.0016270589098528097,0.0030897463533807574
81,155.251842877164,9.587071922771083,484,224112,0.0006927422131664704,4.2778039207053094e-05
82,0.34573058739862256,0.6565342011886446,296,12844,2.691767264081459e-05,5.1116023138324864e-05
83,112.14781214973048,212.96604046168594,5,3912,0.02866764114256914,0.05443917189715898
84,18.028037269926088,34.23481600823264,294,47396,0.00038037043779909883,0.0007223144570898945
85,49.5421929167056,13.672757262138763,245,7418,0.006678645580575034,0.0018431864737312972
86,44.084466265390624,0.0,62,32515,0.0013558193530798285,0.0
87,50.650789696293785,94.65011072431105,45,2082,0.024327948941543606,0.04546114828257015
88,2.6329975405141335,0.0,21,4112,0.0006403204135491569,0.0
89,653.509989555608,1234.0,415,2543,0.256983873203149,0.4852536374360991
90,13.444681462054394,15.783938639124619,93,7394,0.0018183231623011083,0.002134695515164271
91,116.39098997050202,190.60242759140147,150,3054,0.038110998680583506,0.062410749047610174
92,306.19349644902104,581.4542014141647,213,7482,0.04092401716773871,0.07771373983081592
93,128.49027997708973,0.0,253,2553,0.050329134342769186,0.0
94,383.8910414069607,720.0,269,1721,0.22306277827249316,0.41836141778036023
95,1170.2061483455723,0.0,272,13719,0.08529821039037629,0.0
96,714.2096636856104,282.0,272,13719,0.05205989238906702,0.020555434069538595
97,31.563770113964196,0.0,69,62200,0.0005074561111569806,0.0
98,71.07021170017634,115.29467576706477,359,16399,0.004333813750849219,0.00703059185115341
99,95.84111047471447,182.0,485,4665,0.020544718215372876,0.039013933547695605
100,39.49986789694915,75.00931407865308,356,10203,0.0038713974220277512,0.007351692059066262
101,0.07668408745755899,0.0,345,4473,1.7143770949599596e-05,0.0
102,221.0880015121993,419.8408811825712,45,2082,0.10619020245542714,0.20165268068327147
103,229.583940505398,435.5090080931178,45,2082,0.11027086479606052,0.20917819793137263
104,194.55670846424,0.0,65,136258,0.0014278553073158273,0.0
105,16.32458475118763,0.0,446,10334,0.001579696608398261,0.0
106,0.07722831838347524,0.0,345,4473,1.7265441176721493e-05,0.0
107,34.22896802668374,0.0,36,7144,0.004791288917508922,0.0
108,3.8397586055971127,0.0,46,123151,3.117927264575288e-05,0.0
109,21.910426632834135,0.0,81,48946,0.00044764488687194326,0.0
110,318.86997622815056,0.0,99,463501,0.0006879596294897973,0.0
111,0.18879973608259687,0.0,99,463501,4.0733404260745257e-07,0.0
112,0.35824159901681907,0.0,99,463501,7.729036162097149e-07,0.0
113,9.72442664270719,0.0,99,463501,2.098037899099935e-05,0.0
114,16.851184259290456,0.0,130,11600,0.0014526882982146944,0.0
115,12.111788686365015,0.0,148,9158,0.001322536436598058,0.0
116,4.353689458870426,0.0,151,105705,4.118716672693275e-05,0.0
117,69.49438342788265,0.0,166,70286,0.000988737208375532,0.0
118,19.155454732829554,0.0,189,265074,7.226455530466796e-05,0.0
119,183.05875637865591,0.0,189,265074,0.0006905949145470922,0.0
120,43.46857693125588,63.54579858583531,213,7482,0.005809753666299904,0.00849315672090822
121,107.42629965297665,0.0,235,93646,0.0011471531048093528,0.0
122,30.834650291198077,58.55427097204415,294,47396,0.0006505749491771052,0.0012354264278007458
123,5.1365659365091165,9.754217118459826,294,47396,0.00010837551558167602,0.00020580253857835736
124,159.3764008766769,0.0,307,206215,0.0007728652177420504,0.0
125,16.507834829667242,0.0,307,206215,8.005157156204564e-05,0.0
126,53.786270704167144,0.0,313,325685,0.00016514813609520593,0.0
127,7.795995220541878,0.0,343,191900,4.0625300784480864e-05,0.0
128,245.90265307586841,0.0,364,271735,0.0009049355183390745,0.0
129,0.23969475060233292,0.0,373,76917,3.116277943787887e-06,0.0
130,34.67816828940811,0.0,373,76917,0.0004508518050549048,0.0
131,231.17718405714095,0.0,398,217409,0.001063328491723622,0.0
132,15.797985243084803,0.0,437,4461,0.003541355131828021,0.0
133,33.70236851858091,0.0,441,53242,0.0006330034280940031,0.0
134,28.436373437552646,0.0,462,27498,0.001034125152285717,0.0
135,54.76634884269398,0.0,162,32183,0.0017017167089051356,0.0
136,14.74478622687915,0.0,174,6413,0.002299202592683479,0.0
137,4.7393955729254404,0.0,358,6879,0.0006889657759740428,0.0
138,13.691587210673495,0.0,401,21084,0.0006493828121169367,0.0
139,9.478791145850881,0.0,52,11202,0.0008461695363194859,0.0
140,47.920555237357235,0.0,90,11159,0.00429434136010012,0.0
